id,name,state,position,founded,description
14,Crater Lake,Oregon,42.94°N 122.1°W,1902-05-22,"Crater Lakelies in the caldera of an ancient volcano calledMount Mazamathat collapsed 7,700 years ago. The lake is the deepest in the United States and is noted for its vivid blue color andwater clarity.Wizard Islandand thePhantom Shipare more recent volcanic formations within the caldera. As the lake has no inlets or outlets, it is replenished only by precipitation.[33]"
15,Cuyahoga Valley,Ohio,41.24°N 81.55°W,2000-10-11,"This park along theCuyahoga Riverhas waterfalls, hills, trails, and exhibits on early rural living. The Ohio and Erie Canal Towpath Trail follows theOhio and Erie Canal, where mules towed canal boats. The park has numerous historic homes, bridges, and structures,[34]and also offers a scenic train ride.[35]"
16,Death Valley,California,36.24°N 116.82°W,1994-10-31,"Death Valleyis the hottest, lowest, and driest place in the United States, with daytime temperatures that have exceeded 130°F (54°C). The park protectsBadwater Basinand its vast salt flats at the lowest elevation in North America, −282ft (−86m),[36]This geologicgrabenalso protectsnumerous canyons, badlands, sand dunes, mountain ranges, historic mines, springs, and more than 1,000 species of plants that grow.[37](BR)[38]"
17,Denali,Alaska,63.33°N 150.50°W,1917-02-26,"Centered onDenali, the tallest and most prominent mountain in North America, the park is serviced by a single road leading to Wonder Lake, most of which can only be accessed via scheduled tour buses. Denali and other peaks of theAlaska Rangeare covered with long glaciers and boreal forest. Wildlife includesgrizzly bears,Dall sheep,moose,caribou, andwolves.[39](BR)[40]"
18,Dry Tortugas,Florida,24.63°N 82.87°W,1992-10-26,"The islands of theDry Tortugas, at the westernmost end of the Florida Keys, are the site ofFort Jefferson, aCivil War-era fort that is the largestmasonrystructure in the Americas. The park is home to undisturbed coral reefs and shipwrecks, and is only accessible by plane or boat.[41](BR)[42]"
19,Everglades,Florida,25.32°N 80.93°W,1934-05-30,"TheEvergladesare the largest tropical wilderness in the United States. Thismangroveand tropical rainforest ecosystem and marine estuary is home to 36 protected species, including theFlorida panther,American crocodile, andWest Indian manatee. Some areas have been drained and developed; restoration projects aim to restore the ecology.[43](WHS)[44](BR)[42]"
20,Gates of the Arctic,Alaska,67.78°N 153.30°W,1980-12-02,"The country's northernmost park protects an expanse of pure wilderness in Alaska'sBrooks Rangeand has no park facilities. The land is home toAlaska Nativeswho have relied on the land andcariboufor 11,000 years.[45]"
21,Gateway Arch,Missouri,38.63°N 90.19°W,2018-02-22,"The Gateway Arch is a 630-foot (192m) (both high and wide)catenaryarch built in the 1960s to commemorate theLewis and Clark Expedition, initiated byThomas Jefferson, and the subsequentwestward expansionof the country. The nearbyOld Courthouse, across agreenwayto the west of the arch, was the original site of the landmarkDred Scottcase about slavery. An underground museum describes the arch's construction and the country's westward expansion.[47]"
22,Glacier,Montana,48.80°N 114.00°W,1910-05-11,"The U.S. half ofWaterton-Glacier International Peace Park, this park includes 26 rapidly receding glaciers and 130 named lakes surrounded by Rocky Mountain peaks. Historic hotels and the landmarkGoing-to-the-Sun Roadaccommodate visitors.[48]The local mountains, formed by anoverthrust, exposePaleozoicfossils including trilobites, mollusks, giant ferns and dinosaurs. The park is also home toTriple Divide Peak, which forms the boundary between the watersheds of theAtlantic,Pacific, andArcticOceans.[49](WHS)[50](BR)[51]"
23,Glacier Bay,Alaska,58.50°N 137.00°W,1980-12-02,"Glacier Bay contains tidewater glaciers, mountains, fjords, and a temperate rainforest, and is home to large populations of grizzly bears, mountain goats, whales, seals, and eagles. When discovered in 1794 byGeorge Vancouver, the entire bay was covered by ice, but the glaciers have since receded more than 65 miles (105km).[52](WHS)[53](BR)[54]"
24,Grand Canyon,Arizona,36.06°N 112.14°W,1919-02-26,"TheGrand Canyon, carved by the mightyColorado River, is 277 miles (446km) long, up to 1 mile (1.6km) deep, and up to 15 miles (24km) wide. Millions of years of erosion have resulted in a massive three-tiered canyon, exposing the multicolored layers of theColorado Plateauin mesas and canyon walls, visible from trails that descend into the canyon from the north and south rims.[55](WHS)[56]"
25,Grand Teton,Wyoming,43.73°N 110.80°W,1929-02-26,"Grand Tetonis the tallest mountain in the scenicTeton Range. The park's historicJackson Holeand reflective piedmont lakes teem withendemicwildlife, with a backdrop of craggy mountains that rise abruptly from the sage-covered valley below.[57](BR)[7]"
26,Great Basin,Nevada,38.98°N 114.30°W,1986-10-27,"Based around Nevada's second tallest mountain,Wheeler Peak,Great BasinNational Park protects 5,000-year-oldbristlecone pines, arock glacier, and the limestoneLehman Caves. Due to its remote location, the park is home to some of the country's darkest night skies. Wildlife includes theTownsend's big-eared bat,pronghorn, andBonneville cutthroat trout.[58]"
27,Great Sand Dunes,Colorado,37.73°N 105.51°W,2004-09-24,"The tallest sand dunes in North America, up to 750 feet (230m) tall, were formed by deposits of the ancientRio Grandein theSan Luis Valley. Abutting a variety of grasslands, shrublands, and wetlands, the park also features alpine lakes, six 13,000-foot mountains, and old-growth forests.[59]"
28,Great Smoky Mountains,Tennessee,35.68°N 83.53°W,1934-06-15,"TheGreat Smoky Mountains, part of theAppalachian Mountains, span a wide range of elevations, making them home to over 400 vertebrate species, 100 tree species, and 5,000 plant species. Hiking is the park's main attraction, with over 800 miles (1,300km) of trails, including 70 miles (110km) of theAppalachian Trail. Other activities include fishing, horseback riding, and touring nearly 80 historic structures.[60](WHS)[61](BR)[62]"
29,Guadalupe Mountains,Texas,31.92°N 104.87°W,1972-09-30,"This park containsGuadalupe Peak, the highest point in Texas, as well as the scenicMcKittrick Canyonfilled withbigtooth maples, a corner of the aridChihuahuan Desert, and a fossilized coral reef from thePermianera.[63]"
30,Haleakalā,Hawaii,20.72°N 156.17°W,1961-07-01,"TheHaleakalāvolcano onMauifeatures a very large crater with numerouscinder cones,a groveof non-native trees, theKipahulusection's scenic pools of freshwater fish, and the endemicHawaiian goose. The park protects the greatest number of endangered species within a U.S. national park.[64](BR)[65]"
31,Hawaii Volcanoes,Hawaii,19.38°N 155.20°W,1916-08-01,"This park on theBig Islandprotects theKīlaueaandMauna Loavolcanoes, two of the world's most active geological features. Diverse ecosystems range from tropical forests at sea level to barren lava beds at more than 13,000 feet (4,000m).[66](WHS)[67](BR)[65]"
32,Hot Springs,Arkansas,34.51°N 93.05°W,1921-03-04,"Hot Springs was originally established by Congress as a federal reserve on April 20, 1832, making it the oldest area managed by the National Park Service. Natural thermal springs flow out of theOuachita Mountains, providing opportunities for relaxation in a historic setting.Bathhouse Rowpreserves examples of 19th-century architecture.[68]Hot Springs is the first national park within a city and was the smallest national park until 2018.[69]"
33,Indiana Dunes,Indiana,41.6533°N 87.0524°W,2019-02-15,"Previously designated a national lakeshore, parts of this 20-mile (32km) stretch of the southern shore ofLake Michiganhave sandy beaches and tall dunes. The park includes grassy prairies, peat bogs, and marsh wetlands home to over 2,000 species.[70]"
34,Isle Royale,Michigan,48.10°N 88.55°W,1940-04-03,"The largest island inLake Superioris a place of isolation and wilderness. Along with its many shipwrecks, waterways, and hiking trails, the park also includes over 400 smaller islands within 4.5 miles (7.2km) of its shores. There are only 20 mammal species on the island, though the relationship between itswolf and moose populationsis especially unique.[71](BR)[72]"
35,Joshua Tree,California,33.79°N 115.90°W,1994-10-31,"Covering large areas of theColoradoandMojave Desertsand theLittle San Bernardino Mountains, this desert landscape is populated by vast stands ofJoshua trees. Large changes in elevation reveal various contrasting environments including bleached sand dunes, dry lakes, rugged mountains, and maze-like clusters ofmonzogranitemonoliths.[73](BR)[38]"
36,Katmai,Alaska,58.50°N 155.00°W,1980-12-02,"This park on theAlaska Peninsulaprotects theValley of Ten Thousand Smokes, an ash flow formed by the 1912 eruption ofNovarupta, and the stratovolcanoMount Katmai. Over 2,000grizzly bearscome here each year to catch spawningsalmon. Other wildlife includescaribou,wolves,moose, andwolverines.[74]"
37,Kenai Fjords,Alaska,59.92°N 149.65°W,1980-12-02,"NearSewardon theKenai Peninsula, this park protects theHarding Icefieldand at least 38 glaciers andfjordsstemming from it. The only area accessible to the public by road is the rapidly shrinkingExit Glacier. Boat and kayak tours offer views oftidewater glaciers, whales, sea lions, and marine birds.[75]"
38,Kings Canyon,California,36.80°N 118.55°W,1940-03-04,"Home to severalgiant sequoiagroves and theGeneral Grant Tree, the world's second largest measured tree, this park also features part of theKings River, sculptor of the dramatic granite canyon that is its namesake, and theSan Joaquin River, as well as Boyden Cave.[76]Although Kings Canyon National Park was designated as such in 1940, it subsumed General Grant National Park, which had been established on October 1, 1890, as the United States' fourth national park.[77][78][79](BR)[80]"
39,Kobuk Valley,Alaska,67.55°N 159.28°W,1980-12-02,"Kobuk Valley protects 61 miles (98km) of theKobuk Riverand three regions of sand dunes. Created by glaciers, the Great Kobuk, Little Kobuk, and Hunt River Sand Dunes can reach 100 feet (30m) high and 100°F (38°C), and they are the largest dunes in the Arctic. Twice a year, half a million caribou migrate through the dunes and across river bluffs that expose well-preserved ice age fossils.[81]"
40,Lake Clark,Alaska,60.97°N 153.42°W,1980-12-02,"The region around Lake Clark features four active volcanoes, includingMount Redoubt, as well as an abundance of rivers, glaciers, and waterfalls. Temperate rainforests, a tundra plateau, and three mountain ranges complete the landscape.[82]"
41,Lassen Volcanic,California,40.49°N 121.51°W,1916-08-09,"Lassen Peak, the largestlava domevolcano in the world, is joined by all three other types of volcanoes in this park:shield,cinder cone, andcomposite. Though Lassen itself last erupted in 1915, most of the rest of the park is continuously active. Numerous hydrothermal features, includingfumaroles, boiling pools, and bubbling mud pots, are heated by molten rock from beneath the peak.[83]"
42,Mammoth Cave,Kentucky,37.18°N 86.10°W,1941-07-01,"With more than 400 miles (640km) of passageways explored, Mammoth Cave is the world's longest known cave system. Subterranean wildlife includes eight bat species,Kentucky cave shrimp,Northern cavefish, and cave salamanders. Above ground, the park provides recreation on theGreen River, 70 miles of hiking trails, and plenty of sinkholes and springs.[84](WHS)[85](BR)[86]"
43,Mesa Verde,Colorado,37.18°N 108.49°W,1906-06-29,"This area constitutes over 4,000 archaeological sites of theAncestral Puebloanpeople, who lived here and elsewhere in the Four Corners region for at least 700 years. Cliff dwellings built in the 12th and 13th centuries includeCliff Palace, which has 150 rooms and 23kivas, and the Balcony House, with its many passages and tunnels.[87](WHS)[88]"
44,Mount Rainier,Washington,46.85°N 121.75°W,1899-03-02,"Mount Rainier, an activestratovolcano, is the mostprominentpeak in theCascadesand is covered by 26 named glaciers includingCarbon GlacierandEmmons Glacier, the longest and largest in the contiguous United States respectively. The mountain is popular for climbing, and more than half of the park is covered bysubalpineand alpine forests and meadows seasonally in bloom with wildflowers.Paradiseon the south slope is among the snowiest places on Earth.[89]TheLongmirevisitor center is the start of theWonderland Trail, which encircles the mountain.[90]"
45,New River Gorge,West Virginia,38.07°N 81.08°W,2020-12-27,"TheNew RiverGorge is the deepest river gorge east of the Mississippi River. The park primarily covers the lower gorge area around theNew River Gorge Bridge, which features some of the country's bestwhitewater rafting. Smaller noncontiguous sections showcase the ghost town ofThurmond, the scenic Grandview vista, andSandstone Falls. The other 65,165 acres (263.71km2) of the redesignated national river is now anational preserve, spanning 53mi (85km) of the New River.[92][93]"
46,North Cascades,Washington,48.70°N 121.20°W,1968-10-02,"The highly glaciated mountains of theNorth Cascades Rangeexhibit a spectacular and complex geologic history. Between the river valleys and high peaks there are eight diverse life zones with 75 mammal and 1,600 vascular plant species. Popular hiking and climbing areas of theStephen Mather WildernessincludeCascade Pass,Mount Shuksan,Mount Triumph, andEldorado Peak.Ross LakeandLake Chelan National Recreation Areasadjoin the two segments of the park and are all administered together.[94]"
47,Olympic,Washington,47.97°N 123.50°W,1938-06-29,"This park on theOlympic Peninsulaincludes a wide range of ecosystems from Pacific shoreline to temperate rainforests to the glaciated alpine peaks of theOlympic Mountains, the tallest of which isMount Olympus. TheHohandQuinault Rainforestsare the wettest areas in the contiguous United States, with the Hoh receiving an average of almost 12ft (3.7m) of rain every year.[95][96](WHS)[97](BR)[98]"
48,Petrified Forest,Arizona,35.07°N 109.78°W,1962-12-09,This portion of theChinle Formationhas a large concentration of 225-million-year-oldpetrified wood. The surroundingPainted Desertfeatures eroded cliffs of red-hued volcanic rock calledbentonite. Dinosaur fossils and over 350 Native American sites are also protected in this park.[99]
49,Pinnacles,California,36.48°N 121.16°W,2013-01-10,"Named for the eroded leftovers of a portion ofan extinct volcano, the park's massive black and gold monoliths ofandesiteandrhyoliteare a popular destination forrock climbers. Hikers have access to trails crossing theCoast Rangewilderness. The park is one of the few locations where the endangeredCalifornia condorcan be seen in the wild. Pinnacles also supports a dense population ofprairie falconsand more than 13 species of bat that populate its talus caves.[100]"
50,Redwood*,California,41.30°N 124.00°W,1968-10-02,"This park and the co-managed state parks protect almost half of all remainingcoastal redwoods, thetallest treeson earth. There are three large river systems in this very seismically active area, and 37 miles (60km) of protected coastline reveal tide pools andseastacks. The prairie, estuary, coast, river, and forest ecosystems contain a wide variety of animal and plant species.[101](WHS)[102]"
51,Rocky Mountain,Colorado,40.40°N 105.58°W,1915-01-26,"Bisected north to south by theContinental Divide, this portion of theRockieshas ecosystems varying from over 150riparianlakes to montane and subalpine forests to treeless alpine tundra. Wildlife including elk, moose, mule deer, bighorn sheep, black bears, and cougars inhabit its igneous mountains and glacial valleys.Longs Peak, a classic Coloradofourteener, and the scenicBear Lakeare popular destinations, as well as the historicTrail Ridge Road, which reaches an elevation of more than 12,000 feet (3,700m).[103](BR)[104]"
52,Saguaro,Arizona,32.25°N 110.50°W,1994-10-14,"Split into the separateRincon MountainandTucson Mountaindistricts, this park is evidence that the drySonoran Desertis still home to a great variety of life spanning six biotic communities. Beyond the namesakegiant saguarocacti, there arebarrel cacti,chollas, andprickly pears, as well aslesser long-nosed bats,spotted owls, andjavelinas.[105]"
53,Sequoia,California,36.43°N 118.68°W,1890-09-25,"This park protects theGiant Forest, which boasts some of the world's largest trees, theGeneral Shermanbeing the largest measured tree in the park. Other features include over 240 caves, a long segment of theSierra Nevadaincluding thetallest mountain in the contiguous United States, andMoro Rock, a large granite dome.[106](BR)[80]"
54,Shenandoah,Virginia,38.53°N 78.35°W,1935-12-26,"Shenandoah'sBlue Ridge Mountainsare covered by hardwood forests that teem with a wide variety of wildlife. TheSkyline DriveandAppalachian Trailrun the entire length of this narrow park, along with more than 500 miles (800km) of hiking trails passing scenic overlooks and cataracts of theShenandoah River.[107]"
55,Theodore Roosevelt,North Dakota,46.97°N 103.45°W,1978-11-10,"This region that enticed and influenced PresidentTheodore Rooseveltconsists of a park of three units in the northern badlands. Besides Roosevelt'shistoric cabin, there are numerous scenic drives and backcountry hiking opportunities. Wildlife includesAmerican bison,pronghorn,bighorn sheep, and wildhorses.[108]"
56,Virgin Islands,U.S. Virgin Islands,18.33°N 64.73°W,1956-08-02,"This island park onSaint Johnpreserves pristine beaches surrounded by mangrove forests, seagrass beds, and coral reefs. It also hasTaínoarchaeological sites and the ruins of sugar plantations fromColumbus's time.[109]"
57,Voyageurs,Minnesota,48.50°N 92.88°W,1975-04-08,"This park protecting four lakes near the Canada–US border is a site for canoeing, kayaking, and fishing. The park also preserves a history populated byOjibweNative Americans, French fur traders calledvoyageurs, and gold miners. Formed by glaciers, the region features tall bluffs, rock gardens, islands, bays, and several historic buildings.[110]"
58,White Sands,New Mexico,32.78°N 106.17°W,2019-12-20,"Located in the mountain-ringedTularosa Basin, White Sands consists of the southern part of a 275-square-mile (710km2) field of whitesanddunescomposed ofgypsumcrystals—the world's largest gypsum dunefield. The park is completely within theWhite Sands Missile Rangeand is subject to closure when tests are conducted.[112]"
59,Wind Cave,South Dakota,43.57°N 103.48°W,1903-01-09,"Wind Cave is distinctive for its calcite fin formations calledboxwork, a unique formation rarely found elsewhere, and needle-like growths calledfrostwork. It is one of the longest caves in the world and creates a wind as air pressure changes. Above ground is a mixed-grass prairie with animals such asbison,black-footed ferrets, andprairie dogsandponderosa pineforests home tocougarsandelk.[113]The cave is culturally significant to theLakota peopleas acreation site.[114]"
60,Wrangell–St.Elias,Alaska,61.00°N 142.00°W,1980-12-02,"The largest national park in the system protects the convergence of theAlaska,Chugach,Wrangell, andSaint Elias Ranges, which include many of the continent's tallest mountains and volcanoes, including the 18,008-footMount Saint Elias. More than a quarter of the park is covered with glaciers, including the tidewaterHubbard Glacier, piedmontMalaspina Glacier, and valleyNabesna Glacier.[115](WHS)[53]"
61,Yellowstone,Wyoming,44.60°N 110.50°W,1872-03-01,"Situated on theYellowstone Caldera, the park has an expansive network ofgeothermal areasincluding boiling mud pots, vividly colored hot springs such asGrand Prismatic Spring, and regularly erupting geysers, the best-known beingOld Faithful. The yellow-huedGrand Canyonof theYellowstone Rivercontains several highwaterfalls, and four mountain ranges traverse the park. More than 60 mammal species includingtimber wolves,grizzly bears,black bears,lynxes,bison, andelkmake this park one of the best wildlife viewing spots in the country.[116](WHS)[117](BR)[118]"
62,Yosemite,California,37.83°N 119.50°W,1890-10-01,"Yosemite features sheer granite cliffs, exceptionally tall waterfalls, and old-growth forests at a unique intersection of geology and hydrology.Half DomeandEl Capitanrise from the park's centerpiece, the glacier-carvedYosemite Valley, and from its vertical walls dropYosemite Falls, one of North America's tallest waterfalls at 2,425 feet (739m) high. Three giant sequoia groves, along with a pristine wilderness in the heart of theSierra Nevada, are home to a wide variety of rare plant and animal species.[119](WHS)[120]"
63,Zion,Utah,37.30°N 113.05°W,1919-11-19,"Located at the junction of theColorado Plateau,Great Basin, andMojave Desert, this park contains sandstone features such as mesas, rock towers, and canyons, including theVirgin River Narrows. The various sandstone formations and theforksof the Virgin River create a wilderness divided into four ecosystems:desert,riparian,woodland, andconiferous forest.[121]"
